state_code,area_code,areatype_code,area_name
47,0028700,M,"Kingsport-Bristol-Bristol, TN-VA"
47,0028940,M,"Knoxville, TN"
47,0032820,M,"Memphis, TN-MS-AR"
47,0034100,M,"Morristown, TN"
47,0034980,M,"Nashville-Davidson--Murfreesboro--Franklin, TN"
47,4700000,S,Tennessee
47,4700001,M,West Tennessee nonmetropolitan area
47,4700002,M,South Central Tennessee nonmetropolitan area
47,4700003,M,North Central Tennessee nonmetropolitan area
47,4700004,M,East Tennessee nonmetropolitan area
48,0010180,M,"Abilene, TX"
48,0011100,M,"Amarillo, TX"
48,0012420,M,"Austin-Round Rock, TX"
48,0013140,M,"Beaumont-Port Arthur, TX"
48,0015180,M,"Brownsville-Harlingen, TX"
48,0017780,M,"College Station-Bryan, TX"
48,0018580,M,"Corpus Christi, TX"
48,0019100,M,"Dallas-Fort Worth-Arlington, TX"
48,0021340,M,"El Paso, TX"
48,0026420,M,"Houston-The Woodlands-Sugar Land, TX"
48,0028660,M,"Killeen-Temple, TX"
48,0029700,M,"Laredo, TX"
48,0030980,M,"Longview, TX"
48,0031180,M,"Lubbock, TX"
48,0032580,M,"McAllen-Edinburg-Mission, TX"
48,0033260,M,"Midland, TX"
48,0036220,M,"Odessa, TX"
48,0041660,M,"San Angelo, TX"
48,0041700,M,"San Antonio-New Braunfels, TX"
48,0043300,M,"Sherman-Denison, TX"
48,0045500,M,"Texarkana, TX-AR"
48,0046340,M,"Tyler, TX"
48,0047020,M,"Victoria, TX"
48,0047380,M,"Waco, TX"
48,0048660,M,"Wichita Falls, TX"
48,4800000,S,Texas
48,4800001,M,West Texas Region of Texas nonmetropolitan area
48,4800002,M,North Texas Region of Texas nonmetropolitan area
48,4800003,M,Big Thicket Region of Texas nonmetropolitan area
48,4800004,M,Hill Country Region of Texas nonmetropolitan area
48,4800005,M,Border Region of Texas nonmetropolitan area
48,4800006,M,Coastal Plains Region of Texas nonmetropolitan area
49,0030860,M,"Logan, UT-ID"
49,0036260,M,"Ogden-Clearfield, UT"
49,0039340,M,"Provo-Orem, UT"
49,0041100,M,"St. George, UT"
49,0041620,M,"Salt Lake City, UT"
49,4900000,S,Utah
49,4900006,M,Eastern Utah nonmetropolitan area
49,4900007,M,Central Utah nonmetropolitan area
50,0072400,M,"Burlington-South Burlington, VT"
50,5000000,S,Vermont
50,5000001,M,Southern Vermont nonmetropolitan area
50,5000002,M,Northern Vermont nonmetropolitan area
51,0013980,M,"Blacksburg-Christiansburg-Radford, VA"
51,0016820,M,"Charlottesville, VA"
51,0025500,M,"Harrisonburg, VA"
51,0031340,M,"Lynchburg, VA"
51,0040060,M,"Richmond, VA"
51,0040220,M,"Roanoke, VA"
51,0044420,M,"Staunton-Waynesboro, VA"
51,0047260,M,"Virginia Beach-Norfolk-Newport News, VA-NC"
51,0049020,M,"Winchester, VA-WV"
51,5100000,S,Virginia
51,5100001,M,Southwest Virginia nonmetropolitan area
51,5100002,M,Southside Virginia nonmetropolitan area
51,5100003,M,Northeast Virginia nonmetropolitan area
51,5100004,M,Northwest Virginia nonmetropolitan area
53,0013380,M,"Bellingham, WA"
53,0014740,M,"Bremerton-Silverdale, WA"
53,0028420,M,"Kennewick-Richland, WA"
53,0031020,M,"Longview, WA"
53,0034580,M,"Mount Vernon-Anacortes, WA"
53,0036500,M,"Olympia-Tumwater, WA"
53,0042660,M,"Seattle-Tacoma-Bellevue, WA"
53,0044060,M,"Spokane-Spokane Valley, WA"
53,0047460,M,"Walla Walla, WA"
53,0048300,M,"Wenatchee, WA"
53,0049420,M,"Yakima, WA"
53,5300000,S,Washington
53,5300006,M,Western Washington nonmetropolitan area
53,5300007,M,Eastern Washington nonmetropolitan area
54,0013220,M,"Beckley, WV"
54,0016620,M,"Charleston, WV"
54,0026580,M,"Huntington-Ashland, WV-KY-OH"
54,0034060,M,"Morgantown, WV"
54,0037620,M,"Parkersburg-Vienna, WV"
54,0048260,M,"Weirton-Steubenville, WV-OH"
54,0048540,M,"Wheeling, WV-OH"
54,5400000,S,West Virginia
54,5400001,M,Southern West Virginia nonmetropolitan area
54,5400002,M,Northern West Virginia nonmetropolitan area
55,0011540,M,"Appleton, WI"
55,0020740,M,"Eau Claire, WI"
55,0022540,M,"Fond du Lac, WI"
55,0024580,M,"Green Bay, WI"
55,0027500,M,"Janesville-Beloit, WI"
55,0029100,M,"La Crosse-Onalaska, WI-MN"
55,0031540,M,"Madison, WI"
55,0033340,M,"Milwaukee-Waukesha-West Allis, WI"
55,0036780,M,"Oshkosh-Neenah, WI"
55,0039540,M,"Racine, WI"
55,0043100,M,"Sheboygan, WI"
55,0048140,M,"Wausau, WI"
55,5500000,S,Wisconsin
55,5500001,M,Northwestern Wisconsin nonmetropolitan area
55,5500002,M,Northeastern Wisconsin nonmetropolitan area
55,5500003,M,South Central Wisconsin nonmetropolitan area
